id,name,cb_cluster,player_role
334669,S. Serdar,3,Scoring midfielder
334861,M. Ødegaard,2,Deep-lying playmaking midfielder
335207,R. Mandragora,3,Scoring midfielder
335229,Brais Méndez,3,Scoring midfielder
335457,Dani Ceballos,2,Deep-lying playmaking midfielder
341847,I. Bennacer,2,Deep-lying playmaking midfielder
348375,S. Lovrič,3,Scoring midfielder
349583,Óscar Valentín,0,Ball-winning midfielder
357453,J. Aribo,0,Ball-winning midfielder
359767,E. Rexhbecaj,0,Ball-winning midfielder
360647,N. Estévez,0,Ball-winning midfielder
360847,T. Bašić,3,Scoring midfielder
363679,Marc Roca,3,Scoring midfielder
366543,G. Castrovilli,0,Ball-winning midfielder
370563,L. Tousart,0,Ball-winning midfielder
372749,Oriol Rey,0,Ball-winning midfielder
372847,Jaume Grau,1,Box-to-box midfielder
373875,G. Makouta,0,Ball-winning midfielder
374835,Pedro Ferreira,0,Ball-winning midfielder
375571,Fabián Ruiz,2,Deep-lying playmaking midfielder
376613,J. Willock,0,Ball-winning midfielder
376675,André Horta,2,Deep-lying playmaking midfielder
377541,A. Král,0,Ball-winning midfielder
381099,A. Matusiwa,1,Box-to-box midfielder
381127,O. Mangala,0,Ball-winning midfielder
386313,I. Vukotić,0,Ball-winning midfielder
386611,N. Moro,2,Deep-lying playmaking midfielder
387321,Manu Morlanes,1,Box-to-box midfielder
387323,Pepelu,1,Box-to-box midfielder
389723,D. Zakaria,3,Scoring midfielder
389787,M. Jensen,3,Scoring midfielder
393692,K. Phillips,0,Ball-winning midfielder
394335,L. Coulibaly,0,Ball-winning midfielder
394771,A. Dioussé,1,Box-to-box midfielder
394835,F. Anguissa,3,Scoring midfielder
395124,I. Sissoko,0,Ball-winning midfielder
395252,Léo Cordeiro,0,Ball-winning midfielder
396178,R. Bentancur,1,Box-to-box midfielder
397947,D. Kamada,0,Ball-winning midfielder
398474,S. Berge,0,Ball-winning midfielder
398781,Y. Herrera,0,Ball-winning midfielder
398818,E. Palacios,2,Deep-lying playmaking midfielder
399878,J. Cullen,1,Box-to-box midfielder
400419,V. Janelt,1,Box-to-box midfielder
400421,D. Geiger,0,Ball-winning midfielder
400422,N. Dorsch,1,Box-to-box midfielder
400878,T. Adams,1,Box-to-box midfielder
400952,E. Owusu,0,Ball-winning midfielder
402388,Bruno Guimarães,3,Scoring midfielder
403560,V. Sierro,3,Scoring midfielder
403775,A. Camara,0,Ball-winning midfielder
