id,name,cb_cluster,player_role
481220,I. Hien,0,Ball-stealing CB
481786,L. Brassier,1,Ball-playing CB
482559,M. Lacroix,0,Ball-stealing CB
482836,F. Garcés,3,Low-impact CB
483316,Patrick William,1,Ball-playing CB
484685,G. Altare,0,Ball-stealing CB
485662,Jorge Cuenca,3,Low-impact CB
485837,E. Tapsoba,1,Ball-playing CB
490114,J. Vásquez,2,Aerial dominant CB
490537,J. Bijol,2,Aerial dominant CB
490697,Tuta,1,Ball-playing CB
493088,K. Schlotterbeck,2,Aerial dominant CB
495663,L. Woolfenden,3,Low-impact CB
495679,José Copete,0,Ball-stealing CB
496095,Álex Suárez,3,Low-impact CB
496764,N. Wood,3,Low-impact CB
496914,Y. Bisseck,3,Low-impact CB
497317,T. Siersleben,0,Ball-stealing CB
497330,F. Daniliuc,0,Ball-stealing CB
498243,L. Ranieri,3,Low-impact CB
499089,S. Beukema,1,Ball-playing CB
500094,Dani Vivian,0,Ball-stealing CB
504268,D. Tchamba,1,Ball-playing CB
506150,João Goulart,3,Low-impact CB
507718,C. Richards,0,Ball-stealing CB
508745,D. Affengruber,0,Ball-stealing CB
509175,E. Boyomo,3,Low-impact CB
509551,Marco Moreno,2,Aerial dominant CB
517436,S. Pavlović,1,Ball-playing CB
517591,Logan Costa,3,Low-impact CB
517739,R. Drăgușin,3,Low-impact CB
519211,B. Omeragić,3,Low-impact CB
521940,S. Canestrelli,2,Aerial dominant CB
522867,Aitor Paredes,3,Low-impact CB
523653,T. Harwood-Bellis,1,Ball-playing CB
